V1	V2	I	Inrm
4	5.92	0.02900	29.0
4	10.93	0.05530	55.3
4	15.43	0.07700	77.0
4	17.58	0.08640	86.4
4	18.61	0.08880	88.8
4	18.79	0.08880	88.8
4	19.34	0.08840	88.4
4	20.45	0.08520	85.2
4	22.30	0.07920	79.2
4	24.19	0.05620	56.2
4	26.34	0.07120	71.2
4	28.43	0.08720	87.2
4	30.35	0.10280	102.8
4	32.30	0.11850	118.5
4	34.72	0.13660	136.6
4	36.54	0.14740	147.4
4	36.95	0.14990	149.9
4	37.55	0.14980	149.8
4	38.00	0.15030	150.3
4	38.50	0.15000	150.0
4	39.00	0.14980	149.8
4	40.46	0.14260	142.6
4	45.00	0.13270	132.7
4	50.24	0.14980	149.8
4	55.04	0.17520	175.2
4	57.00	0.18750	187.5
4	59.20	0.19720	197.2
4	60.92	0.20300	203.0
4	61.00	0.20350	203.5
4	61.18	0.20300	203.0
4	61.45	0.20410	204.1
6	5.64	0.01930	19.3
6	10.30	0.04800	48.0
6	15.46	0.07520	75.2
6	17.62	0.08620	86.2
6	18.90	0.08940	89.4
6	19.07	0.08950	89.5
6	19.52	0.08930	89.3
6	20.00	0.08840	88.4
6	21.13	0.08390	83.9
6	23.44	0.04560	45.6
6	25.28	0.03450	34.5
6	30.15	0.07680	76.8
6	35.14	0.11980	119.8
6	36.10	0.12690	126.9
6	36.45	0.12900	129.0
6	37.04	0.13120	131.2
6	37.25	0.13160	131.6
6	37.40	0.13210	132.1
6	37.46	0.13190	131.9
6	37.65	0.13070	130.7
6	38.07	0.13180	131.8
6	38.56	0.13190	131.9
6	39.05	0.13160	131.6
6	40.30	0.12540	125.4
6	45.35	0.10420	104.2
6	50.05	0.11010	110.1
8	5.59	0.00930	9.3
8	10.75	0.04120	41.2
8	15.79	0.06920	69.2
8	17.59	0.07860	78.6
8	18.43	0.08230	82.3
8	19.09	0.08390	83.9
8	19.32	0.08430	84.3
8	19.58	0.08430	84.3
8	19.76	0.08440	84.4
8	19.80	0.08480	84.8
8	19.92	0.08430	84.3
8	20.05	0.08440	84.4
8	25.05	0.01860	18.6
8	30.06	0.04600	46.0
8	35.05	0.09350	93.5
8	37.06	0.10510	105.1
8	37.54	0.10610	106.1
8	37.88	0.10650	106.5
8	38.04	0.10640	106.4
8	38.12	0.10710	107.1
8	38.30	0.10740	107.4
8	38.78	0.10800	108.0
8	39.06	0.10800	108.0
8	39.69	0.10630	106.3
8	45.00	0.08030	80.3
8	50.26	0.07290	72.9
