t (s),V (mV)
0,15.8115
0.965,15.7857
1.928,15.762
2.913,15.7334
3.914,15.7046
4.914,15.6756
5.913,15.6458
6.914,15.6154
7.913,15.5849
8.913,15.5534
9.914,15.5226
10.913,15.4911
11.913,15.4603
12.914,15.4287
13.913,15.3971
14.913,15.3652
15.913,15.3336
16.914,15.3014
17.913,15.2702
18.913,15.2378
19.913,15.2065
20.913,15.1749
21.914,15.1427
22.913,15.1105
23.914,15.079
24.913,15.0481
25.914,15.0156
26.913,14.9845
27.914,14.9529
28.913,14.9217
29.914,14.8907
30.913,14.8595
31.913,14.8281
32.913,14.7982
33.914,14.769
34.913,14.7383
35.914,14.7073
36.913,14.6773
37.913,14.6473
38.913,14.6175
39.913,14.5888
40.913,14.5587
41.914,14.529
42.913,14.4996
43.914,14.4699
44.914,14.441
45.913,14.4102
46.914,14.3825
47.914,14.3538
48.913,14.3252
49.913,14.2969
50.914,14.2683
51.913,14.2407
52.914,14.212
53.914,14.1834
54.913,14.1559
55.913,14.1271
56.914,14.0989
57.913,14.0704
58.914,14.0431
59.913,14.0143
60.914,13.9873
61.913,13.9595
62.913,13.9319
63.914,13.9037
64.914,13.8757
65.913,13.848
66.913,13.8204
67.914,13.7929
68.914,13.766
69.913,13.739
70.914,13.7117
71.913,13.683
72.914,13.6558
73.913,13.6289
74.913,13.6021
75.913,13.5751
76.914,13.5487
77.913,13.5226
78.913,13.4967
79.914,13.4713
80.913,13.4451
81.914,13.4198
82.913,13.394
83.914,13.3679
84.913,13.3417
85.914,13.3166
86.913,13.2904
87.913,13.2647
88.913,13.2387
89.914,13.2141
90.913,13.1886
91.914,13.1632
92.914,13.1374
93.914,13.1121
94.913,13.0869
95.913,13.063
96.914,13.0377
97.913,13.0135
98.914,12.989
99.914,12.9645
100.913,12.9402
101.913,12.9157
102.914,12.891
103.914,12.8667
104.913,12.8425
105.913,12.8181
106.914,12.7929
107.914,12.7686
108.914,12.7438
109.914,12.7207
110.914,12.6962
111.913,12.6722
112.914,12.648
113.913,12.6257
114.913,12.6026
115.914,12.5785
116.913,12.5551
117.914,12.5314
118.914,12.507
119.913,12.4841
120.913,12.4605
121.914,12.4373
122.914,12.415
123.913,12.3916
124.914,12.3677
125.913,12.3445
126.913,12.3218
127.913,12.2992
128.914,12.2753
129.913,12.2516
130.914,12.2282
131.914,12.2057
132.913,12.1824
133.914,12.1594
134.913,12.1375
135.914,12.114
136.913,12.0913
137.913,12.0694
138.914,12.0461
139.913,12.0247
140.913,12.0021
141.914,11.9797
142.914,11.9572
143.913,11.9347
144.913,11.9122
145.914,11.8903
146.914,11.8681
147.914,11.8459
148.914,11.8232
149.913,11.803
150.914,11.7801
151.914,11.7581
152.914,11.7365
153.913,11.7133
154.914,11.693
155.914,11.6714
156.914,11.6501
157.913,11.6286
158.913,11.607
159.914,11.5851
160.914,11.565
161.914,11.5433
162.913,11.5222
163.914,11.5014
164.913,11.4793
165.914,11.4586
166.913,11.4378
167.913,11.4162
168.914,11.3959
169.914,11.3753
170.913,11.3539
171.913,11.3326
172.914,11.312
173.913,11.2916
174.913,11.2702
175.914,11.2513
176.913,11.2303
177.913,11.2092
178.913,11.1895
179.914,11.1693
180.914,11.1477
181.913,11.1287
182.913,11.108
183.914,11.0885
184.913,11.0668
185.914,11.0466
186.913,11.027
187.913,11.0063
188.914,10.987
189.914,10.967
190.913,10.9463
191.913,10.9262
192.914,10.9075
193.913,10.8875
194.913,10.8672
195.914,10.8484
196.914,10.8288
197.914,10.8099
198.913,10.7898
199.913,10.7715
200.913,10.7513
201.914,10.7327
202.914,10.7135
203.914,10.6941
204.914,10.6749
205.913,10.6563
206.913,10.637
207.913,10.6182
208.913,10.5994
209.913,10.5794
210.912,10.5601
211.912,10.5411
212.912,10.5227
213.913,10.5027
214.913,10.484
215.912,10.4653
216.912,10.4466
217.912,10.4283
218.913,10.4088
219.913,10.3897
220.912,10.3723
221.913,10.3523
222.912,10.3338
223.912,10.3157
224.912,10.297
225.913,10.2777
226.912,10.2599
227.913,10.2398
228.912,10.2221
229.912,10.2033
230.913,10.1845
231.912,10.166
232.912,10.1469
233.913,10.1293
234.912,10.1101
235.912,10.0919
236.913,10.0736
237.912,10.0562
238.913,10.0387
239.912,10.02
240.913,10.0015
241.913,9.9837
242.913,9.9667
243.914,9.9492
244.913,9.9307
245.913,9.913
246.913,9.8949
247.914,9.8771
248.914,9.8601
249.913,9.841
250.913,9.8233
