Time,Object Name,Status,Value,Units,Alert ID,Priority
12.03.2025 15:10:58,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:10:58,TIC Turbo Power,,5.4,,0,0
12.03.2025 15:10:58,TIC Gauge 1,11,3.5806e+00,59,0,0
12.03.2025 15:10:58,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:10:58,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:00,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:00,TIC Turbo Power,,7.0,,0,0
12.03.2025 15:11:00,TIC Gauge 1,11,3.5610e+00,59,0,0
12.03.2025 15:11:00,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:11:00,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:02,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:02,TIC Turbo Power,,6.1,,0,0
12.03.2025 15:11:02,TIC Gauge 1,11,3.5610e+00,59,0,0
12.03.2025 15:11:02,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:11:03,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:04,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:04,TIC Turbo Power,,7.0,,0,0
12.03.2025 15:11:04,TIC Gauge 1,11,3.5610e+00,59,0,0
12.03.2025 15:11:04,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:11:05,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:06,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:06,TIC Turbo Power,,7.3,,0,0
12.03.2025 15:11:06,TIC Gauge 1,11,3.5610e+00,59,0,0
12.03.2025 15:11:07,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 15:11:07,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 15:11:08,TIC Turbo Speed,,1.6,,0,0
12.03.2025 15:11:08,TIC Turbo Power,,7.3,,0,0
12.03.2025 15:11:09,TIC Gauge 1,11,3.5610e+00,59,0,0
12.03.2025 15:11:09,TIC Gauge 2,5,9.9000e+09,59,0,0
