Time,Object Name,Status,Value,Units,Alert ID,Priority
12.03.2025 14:06:43,TIC Gauge 1,11,3.1410e+01,59,0,0
12.03.2025 14:06:43,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:06:43,TIC Turbo Power,,8.2,,0,0
12.03.2025 14:06:43,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:06:43,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:06:45,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:06:45,TIC Turbo Power,,8.0,,0,0
12.03.2025 14:06:45,TIC Gauge 1,11,3.1410e+01,59,0,0
12.03.2025 14:06:45,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:06:45,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:06:47,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:06:47,TIC Turbo Power,,8.2,,0,0
12.03.2025 14:06:47,TIC Gauge 1,11,3.1647e+01,59,0,0
12.03.2025 14:06:47,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:06:48,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:06:49,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:06:49,TIC Turbo Power,,6.8,,0,0
12.03.2025 14:06:49,TIC Gauge 1,11,3.1647e+01,59,0,0
12.03.2025 14:06:50,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:06:50,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:06:51,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:06:51,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:06:52,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:06:52,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:06:52,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:03,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:03,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:03,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:03,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:03,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:05,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:05,TIC Turbo Power,,6.1,,0,0
12.03.2025 14:07:05,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:05,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:05,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:07,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:07,TIC Turbo Power,,6.8,,0,0
12.03.2025 14:07:07,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:07,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:07,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:09,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:09,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:09,TIC Turbo Power,,7.5,,0,0
12.03.2025 14:07:09,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:09,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:11,TIC Gauge 2,5,9.9000e+09,59,0,0
12.03.2025 14:07:11,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:11,TIC Turbo Power,,8.0,,0,0
12.03.2025 14:07:11,TIC Gauge 3,5,9.9000e+09,59,0,0
12.03.2025 14:07:11,TIC Gauge 1,11,3.1594e+01,59,0,0
12.03.2025 14:07:13,TIC Turbo Speed,,1.6,,0,0
12.03.2025 14:07:13,TIC Turbo Power,,6.3,,0,0
12.03.2025 14:07:13,TIC Gauge 1,11,3.1594e+01,59,0,0
